filename,supports_thesis_item,description,format,generated_or_manual,source_or_script,redistributable_yes_no,notes
README.md,Appendix D folder guide,Folder-level purpose and scope,markdown,generated,build_appendix_d_support.py,yes,
MANIFEST.csv,Appendix D inventory,Machine-readable inventory of support files,csv,generated,build_appendix_d_support.py,yes,
table_d1_market_boundary_register.csv,Table D1,Market boundary register (6 rows),csv,generated,build_appendix_d_support.py,yes,Curated from Appendix D thesis-facing content
table_d2_evidence_families.csv,Table D2,Evidence families for markets and marginal suppliers (7 rows),csv,generated,build_appendix_d_support.py,yes,Curated from Appendix D thesis-facing content
table_d3_primary_aluminum_marginal_mix.csv,Table D3,Contemporary primary aluminium marginal mix (7 rows),csv,generated,build_appendix_d_support.py,yes,Curated from final Appendix D table values
table_d4_canada_electricity_marginal_mix.csv,Table D4,Canada-wide electricity marginal mix (9 rows),csv,generated,build_appendix_d_support.py,yes,Curated from final Appendix D table values
source_workbook_manifest.csv,Appendix D workbook support,Manifest of all sheets in the source workbook (13 rows),csv,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
sheet_extract_manifest.csv,Appendix D extracted workbooks,Manifest of per-sheet extracted workbooks (9 rows),csv,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
validation_log.txt,Appendix D validation log,"Run log showing workbook discovery, extraction status, and output row counts",text,generated,build_appendix_d_support.py,yes,"Confirms discovery and generation, not semantic perfection"
calculation_workbooks\appendix_d_CA_Elec_Contemp.xlsx,Appendix D calculation workbook - CA_Elec_Contemp,"Extracted workbook for CA_Elec_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_ON_Elec_Contemp.xlsx,Appendix D calculation workbook - ON_Elec_Contemp,"Extracted workbook for ON_Elec_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_QC_Elec_Contemp.xlsx,Appendix D calculation workbook - QC_Elec_Contemp,"Extracted workbook for QC_Elec_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_AB_Elec_Contemp.xlsx,Appendix D calculation workbook - AB_Elec_Contemp,"Extracted workbook for AB_Elec_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_BC_Elec_Contemp.xlsx,Appendix D calculation workbook - BC_Elec_Contemp,"Extracted workbook for BC_Elec_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_CA_Ingot_Contemp.xlsx,Appendix D calculation workbook - CA_Ingot_Contemp,"Extracted workbook for CA_Ingot_Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_All_Alum_Producers_Contemp.xlsx,Appendix D calculation workbook - All Alum. Producers Contemp,"Extracted workbook for All Alum. Producers Contemp, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
calculation_workbooks\appendix_d_AB_Hydrogen_Production_Calcs.xlsx,Appendix D calculation workbook - AB Hydrogen Production Calcs,"Extracted workbook for AB Hydrogen Production Calcs, retaining target sheet and dependent sheets",xlsx,generated,Thesis SI Content.xlsx + build_appendix_d_support.py,yes,
