route_family,scenario_scope,role,node_or_code,pattern_or_variant,source_script,evidence_type,notes
Conventional recycling,Contemporary,C3-C4 no-credit refiner variant,AL_UP_refiner_postcons_NO_CREDIT_CA,UP_refiner_postcons_no_credit,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,C3-C4 preparation unit process,AL_UP_degreasing_CA,UP_degrease,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,C3-C4 refiner/remelting unit process,AL_UP_refiner_postcons_CA,UP_refiner_postcons,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,Stage D credit wrapper,AL_SD_credit_recycling_postcons_QC,SD_recycling_postcons,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,avoided-product proxy,AL_UP_avoided_impact_extrusion_CA,UP_avoided_extrusion_CA,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,avoided-product proxy,AL_UP_avoided_primary_ingot_QC,UP_avoided_ingot_QC,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,route wrapper (C3-C4),AL_RW_recycling_postcons_refiner_C3C4_CA,RW_recycling_postcons_C3C4,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Contemporary,route wrapper (NET),AL_RW_recycling_postcons_NET_CA,RW_recycling_postcons_NET,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Conventional recycling,Prospective,credit-mode control,BW_RECYCLE_CREDIT_MODE / --recycle-credit-mode,probe | rewire_embedded | external_stageD,build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed CLI / env control,"Prospective recycling builder supports probe, embedded-rewire, and external Stage D modes. Deterministic Appendix A interpretation aligns with explicit Stage D realization rather than ungoverned embedded credits."
Conventional recycling,Prospective (all requested scenario IDs),C3-C4 no-credit refiner variant,AL_UP_refiner_postcons_NO_CREDIT_CA__<scenario_id>,AL_UP_refiner_postcons_NO_CREDIT_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Refiner no-credit variant."
Conventional recycling,Prospective (all requested scenario IDs),C3-C4 refiner/remelting unit process,AL_UP_refiner_postcons_CA__<scenario_id>,AL_UP_refiner_postcons_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Refiner/remelting unit process."
Conventional recycling,Prospective (all requested scenario IDs),Stage D credit wrapper,AL_SD_credit_recycling_postcons_CA__<scenario_id>,AL_SD_credit_recycling_postcons_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Recycling stage d wrapper."
Conventional recycling,Prospective (all requested scenario IDs),route wrapper (C3-C4),AL_RW_recycling_postcons_refiner_C3C4_CA__<scenario_id>,AL_RW_recycling_postcons_refiner_C3C4_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Recycling c3-c4 wrapper."
Conventional recycling,Prospective (all requested scenario IDs),route wrapper (NET),AL_RW_recycling_postcons_NET_CA__<scenario_id>,AL_RW_recycling_postcons_NET_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Recycling net wrapper."
Conventional recycling / Reuse / MS-FSC,Contemporary,canonical avoided-ingot provider,AL_credit_primary_ingot_IAI_NA_QC_elec,CANONICAL_INGOT_CREDIT_CODE,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed constant,Shared canonical avoided primary-ingot provider used across contemporary base-route and MS-FSC credit logic.
Hydrolysis,Contemporary,C3-C4 preparation unit process,al_scrap_shredding_for_hydrolysis_CA,CODE_PREP,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,gate-basis route activity,al_hydrolysis_treatment_CA,CODE_HYDROLYSIS,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,gate-scrap proxy,al_scrap_postconsumer_CA_gate,CODE_SCRAP_GATE,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,utility / conditioning proxy,di_water_CA,CODE_DI_WATER,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,utility / conditioning proxy,naoh_CA_proxy,CODE_NAOH_PROXY,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,utility / conditioning proxy,naoh_electrolyte_solution_CA,CODE_ELECTROLYTE,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Contemporary,utility / conditioning proxy,wastewater_treatment_unpolluted_CAe,CODE_WW_TREAT,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis,Prospective,C3-C4 preparation unit process,al_scrap_shredding_for_hydrolysis_CA__{sid},al_scrap_shredding_for_hydrolysis_CA__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific preparation node; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,Stage D credit wrapper,al_hydrolysis_stageD_offsets_CA_GATE_BASIS__{sid},al_hydrolysis_stageD_offsets_CA_GATE_BASIS__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific combined H2 + Al(OH)3 Stage D wrapper; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,gate-basis route activity,al_hydrolysis_treatment_CA_GATE_BASIS__{sid},al_hydrolysis_treatment_CA_GATE_BASIS__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific gate-basis route activity; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,gate-scrap proxy,al_scrap_postconsumer_CA_gate__{sid},al_scrap_postconsumer_CA_gate__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific gate-scrap proxy; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,utility / conditioning proxy,di_water_CA__{sid},di_water_CA__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific deionized water proxy; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,utility / conditioning proxy,naoh_CA_proxy__{sid},naoh_CA_proxy__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific NaOH proxy; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,utility / conditioning proxy,naoh_electrolyte_solution_CA_makeup__{sid},naoh_electrolyte_solution_CA_makeup__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific electrolyte make-up proxy; <sid> corresponds to the scenario ID.
Hydrolysis,Prospective,utility / conditioning proxy,wastewater_treatment_unpolluted_CAe__{sid},wastewater_treatment_unpolluted_CAe__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific wastewater-treatment proxy; <sid> corresponds to the scenario ID.
Hydrolysis - Al(OH)3,Contemporary,Stage D credit wrapper,StageD_hydrolysis_AlOH3_offset_NA_contemp,CODE_STAGE_D_ALOH3,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - Al(OH)3,Contemporary,avoided-product proxy,aloh3_market_proxy_GLO_contemp,CODE_ALOH3_PROXY,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - Al(OH)3,Prospective,avoided-product proxy,aloh3_market_proxy_locpref__{sid},aloh3_market_proxy_locpref__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific aluminium hydroxide receiving-system proxy; <sid> corresponds to the scenario ID.
Hydrolysis - H2,Contemporary,C3-C4 purification service proxy,h2_purification_psa_service_CA,CODE_PSA_SERVICE,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - H2,Contemporary,Stage D credit wrapper,StageD_hydrolysis_H2_offset_CA_contemp,CODE_STAGE_D_H2,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - H2,Contemporary,avoided-product proxy,h2_market_low_pressure_proxy_CA_contemp_RoW_base,CODE_H2_MARKET_PROXY,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - H2,Contemporary,supplier proxy / provider clone,h2_production_smr_proxy_CA_contemp_ABelec,CODE_SMR_PROVIDER_FG,c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_AB_elec_contemporary_v16_26.02.02.py,parsed constant,Extracted from top-level FG / Stage D code constants in contemporary hydrolysis builder.
Hydrolysis - H2,Prospective,C3-C4 purification service proxy,h2_purification_psa_service_CA__{sid},h2_purification_psa_service_CA__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific PSA purification service; <sid> corresponds to the scenario ID.
Hydrolysis - H2,Prospective,avoided-product proxy,h2_market_low_pressure_proxy_CA_prospect_locpref__{sid},h2_market_low_pressure_proxy_CA_prospect_locpref__{sid},c3c4_staged_al_hydrolysis_PSA_h2_AlOH3_credits_CA_elec_prospect_v15_26.02.15.py,parsed code pattern (scenario-suffixed),Prospective builder creates one scenario-specific hydrogen receiving-system proxy; <sid> corresponds to the scenario ID.
Landfill,Contemporary,C3-C4 unit process,AL_UP_landfill_CA,UP_landfill,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Landfill,Contemporary,route wrapper (C3-C4),AL_RW_landfill_C3C4_CA,RW_landfill_C3C4,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Landfill,Contemporary,route wrapper (NET),AL_RW_landfill_NET_CA,RW_landfill_NET,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Landfill,Prospective (all requested scenario IDs),C3-C4 unit process,AL_UP_landfill_CA__<scenario_id>,AL_UP_landfill_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Landfill unit process."
Landfill,Prospective (all requested scenario IDs),route wrapper (C3-C4),AL_RW_landfill_C3C4_CA__<scenario_id>,AL_RW_landfill_C3C4_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Landfill c3-c4 wrapper."
Landfill,Prospective (all requested scenario IDs),route wrapper (NET),AL_RW_landfill_NET_CA__<scenario_id>,AL_RW_landfill_NET_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Landfill net wrapper."
MS-FSC,Contemporary,C3-C4 consolidation unit process,FSC_consolidation_CA,consolidate,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Contemporary,C3-C4 degreasing unit process,FSC_degreasing_CA,degrease,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Contemporary,C3-C4 shredding unit process,FSC_shredding_CA,shred,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Contemporary,Stage D credit wrapper,FSC_stageD_credit_billet_QCBC,stageD_credit,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Contemporary,avoided-product proxy,AL_credit_primary_ingot_IAI_NA_QC_elec,credit_proxy,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Contemporary,gate-diversion / prepared-scrap proxy,al_scrap_postconsumer_CA_gate_FSC,gateA,c3c4_staged_msfsc_degrease_shred_al_credits_QC_elec_contemporary_v13_26.02.16.py,parsed literal assignment,Extracted from FG_CODES dict in contemporary MS-FSC builder.
MS-FSC,Prospective,C3-C4 degreasing unit process,MSFSC_degrease_CA_{scenario_label},MSFSC_degrease_CA_{scenario_label},c3c4_staged_msfsc_degrease_shred_al_credits_CA_elec_prospect_v21_26.02.16.py,parsed f-string code pattern,Prospective builder creates scenario-specific degreasing node. stageD_variant choices in script are baseline or inert.
MS-FSC,Prospective,Stage D credit wrapper,MSFSC_stageD_credit_ingot_{stageD_variant}_CA_{scenario_label},MSFSC_stageD_credit_ingot_{stageD_variant}_CA_{scenario_label},c3c4_staged_msfsc_degrease_shred_al_credits_CA_elec_prospect_v21_26.02.16.py,parsed f-string code pattern,Prospective builder creates scenario- and variant-specific MS-FSC Stage D credit wrapper. stageD_variant choices in script are baseline or inert.
MS-FSC,Prospective,gate-diversion / prepared-scrap proxy,MSFSC_gateA_DIVERT_PREP_CA_{scenario_label},MSFSC_gateA_DIVERT_PREP_CA_{scenario_label},c3c4_staged_msfsc_degrease_shred_al_credits_CA_elec_prospect_v21_26.02.16.py,parsed f-string code pattern,Prospective builder creates scenario-specific Gate A diverted prepared-scrap proxy. stageD_variant choices in script are baseline or inert.
MS-FSC,Prospective,governance variant control,--stageD-variant,baseline | inert,c3c4_staged_msfsc_degrease_shred_al_credits_CA_elec_prospect_v21_26.02.16.py,parsed CLI choice,This directly supports the prospective aluminium technology overlay governance variant described in Appendix A / D.
Reuse,Contemporary,Stage D credit wrapper,AL_SD_credit_reuse_QC_ingot_plus_extrusion,SD_reuse_combined,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Reuse,Contemporary,route wrapper (C3 only),AL_RW_reuse_C3_CA,RW_reuse_C3,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Reuse,Contemporary,route wrapper (NET),AL_RW_reuse_NET_CA,RW_reuse_NET,build_al_base_routes_contemp_NET_v16_26.02.24.py,parsed literal assignment,Extracted from CODES dict in contemporary base-route builder.
Reuse,Prospective (all requested scenario IDs),C3-C4 preparation unit process,AL_UP_degreasing_CA__<scenario_id>,AL_UP_degreasing_CA__{sid},build_al_base_routes_prospect_NET_v11_26.02.11.py,parsed code pattern (scenario-suffixed),"Builder creates one node per scenario ID. Examples of <scenario_id>: SSP1VLLO_2050, SSP2M_2050, SSP5H_2050. Degreasing unit process."
