candidate_route_technology_family,representative_basis_in_reviewed_uploaded_pdfs,indicative_output_displaced_product_intent,indicative_maturity_for_thesis_framing,screening_outcome_in_thesis
Direct chip-to-profile hot extrusion,"(D. Cooper, 2013; Duflou et al., 2015)",Extruded aluminium profile or billet-equivalent semi-finished product,Mid-TRL,Valid longlist candidate; not retained in final case-study route set
ECAP-assisted hot extrusion of aluminium chips,"(Duflou et al., 2015)",Billet/profile-grade solid-state recycled product,Mid-TRL,Valid longlist candidate; not retained as a standalone route
Screw extrusion of aluminium scrap/chips,"(Duflou et al., 2015)",Continuous solid-state extrudate / profile-type product,Mid-TRL,Valid longlist candidate; not retained as a standalone route
Spark plasma sintering (SPS) of aluminium scrap/chips,"(Duflou et al., 2015)",Dense near-net-shape consolidated aluminium product,Mid-TRL,"Valid longlist candidate, but not retained because the displaced-product basis differs from the billet-oriented routes used in the thesis"
Single-step friction stir consolidation (FSC),"(Ingarao et al., 2023)",Billet-equivalent consolidated aluminium from chips,Mid-TRL,Valid longlist candidate; superseded in final selection by multi-step FSC
Multi-step friction stir consolidation (MS-FSC),"(Ingarao et al., 2023; Demirci et al., 2025)",Billet-equivalent consolidated aluminium suitable for extrusion-feedstock substitution,Mid-TRL,Retained in final thesis route set
Functionally graded / multi-material FSC billets,"(Latif, Ingarao, Gucciardi, et al., 2022)",Upcycled graded billet rather than conventional billet-equivalent feedstock,Low-to-mid TRL,"Retained as contextual evidence for FSC flexibility, but not as a standalone displaced-product route"
Hydrolysis of aluminium scrap for hydrogen generation,"(Urbonavicius et al., 2024)",Merchant gaseous hydrogen with aluminium hydroxide co-product,Low TRL,Retained in final thesis route set
Hydrolysis using alkaline promoters / pretreatments,"(Petrovic & Thomas, 2011; Zou et al., 2013)",Same hydrogen-service intent with altered reaction performance,Low TRL,Used as supporting evidence for hydrolysis parameterization; not retained as a separate route
Hydrolysis using alternative aqueous streams / waste streams,"(Deebika & Saravanakumar, 2023)",Hydrogen generation from waste aluminium under modified reaction medium,Low TRL,Contextual longlist candidate; not retained because system expansion and transferability become substantially less direct
Improved remelting or pre-melting consolidation variants for chip recovery,"(D. R. Cooper et al., 2018)",Improved recycling yield rather than a distinct non-melting route,Adjacent process-improvement class,Used as contextual evidence for conventional-recycling yield logic; not retained as a separate emerging route
